Date,United States Median Household Income
1/1/1984,50511
1/1/1985,51455
1/1/1986,53309
1/1/1987,53945
1/1/1988,54390
1/1/1989,55329
1/1/1990,54621
1/1/1991,53025
1/1/1992,52615
1/1/1993,52334
1/1/1994,52942
1/1/1995,54600
1/1/1996,55394
1/1/1997,56533
1/1/1998,58612
1/1/1999,60062
1/1/2000,59938
1/1/2001,58609
1/1/2002,57947
1/1/2003,57875
1/1/2004,57674
1/1/2005,58291
1/1/2006,58746
1/1/2007,59534
1/1/2008,57412
1/1/2009,57010
1/1/2010,55520
1/1/2011,54673
1/1/2012,54569
1/1/2013,56479
1/1/2014,55613
1/1/2015,58476
1/1/2016,60309
1/1/2017,61372
