Date,Median Household Income
1984-01-01,45988
1985-01-01,45917
1986-01-01,52077
1987-01-01,56831
1988-01-01,53423
1989-01-01,51206
1990-01-01,49967
1991-01-01,52601
1992-01-01,51947
1993-01-01,45739
1994-01-01,49418
1995-01-01,49268
1996-01-01,49891
1997-01-01,48673
1998-01-01,50394
1999-01-01,57072
2000-01-01,58842
2001-01-01,57140
2002-01-01,53385
2003-01-01,60181
2004-01-01,56525
2005-01-01,56614
2006-01-01,59082
2007-01-01,60186
2008-01-01,63446
2009-01-01,60863
2010-01-01,64142
2011-01-01,60350
2012-01-01,69789
2013-01-01,63301
2014-01-01,70767
2015-01-01,72501
2016-01-01,72508
2017-01-01,83382
